,Symbol,Name,Sector,Industry,Type
1316,EPAM,EPAM Systems Inc. Common Stock,Technology,EDP Services,EQUITY
1317,EPD,Enterprise Products Partners L.P. Common Stock,Utilities,Natural Gas Distribution,EQUITY
1318,EPIX,ESSA Pharma Inc. Common Stock,Health Care,Pharmaceuticals and Biotechnology,EQUITY
1319,EPM,Evolution Petroleum Corporation Inc. Common Stock,Energy,Oil & Gas Production,EQUITY
1320,EPR,EPR Properties Common Stock,Real Estate,Real Estate Investment Trusts,EQUITY
1321,EPRT,Essential Properties Realty Trust Inc. Common Stock,Real Estate,Real Estate Investment Trusts,EQUITY
1322,EQ,Equillium Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,EQUITY
1323,EQBK,Equity Bancshares Inc. Class A Common Stock,Finance,Finance: Consumer Services,EQUITY
1324,EQC,Equity Commonwealth Common Shares of Beneficial Interest,Real Estate,Real Estate Investment Trusts,EQUITY
1325,EQIX,Equinix Inc. Common Stock REIT,Real Estate,Real Estate Investment Trusts,EQUITY
1326,EQR,Equity Residential Common Shares of Beneficial Interest,Real Estate,Real Estate Investment Trusts,EQUITY
1327,EQS,Equus Total Return Inc. Common Stock,Finance,Finance/Investors Services,EQUITY
1328,EQT,EQT Corporation Common Stock,Energy,Oil & Gas Production,EQUITY
1329,ERAS,Erasca Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,EQUITY
1330,ERC,Allspring Multi-Sector Income Fund Common Stock,Finance,Finance/Investors Services,EQUITY
1331,ERIE,Erie Indemnity Company Class A Common Stock,Finance,Specialty Insurers,EQUITY
1332,ERII,Energy Recovery Inc. Common Stock,Technology,Industrial Machinery/Components,EQUITY
1333,ERJ,Embraer S.A. Common Stock,Industrials,Aerospace,EQUITY
1334,ERNA,Eterna Therapeutics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,EQUITY
1335,ES,Eversource Energy (D/B/A) Common Stock,Utilities,Electric Utilities: Central,EQUITY
1336,ESCA,Escalade Incorporated Common Stock,Consumer Discretionary,Recreational Games/Products/Toys,EQUITY
1337,ESE,ESCO Technologies Inc. Common Stock,Telecommunications,Telecommunications Equipment,EQUITY
1338,ESI,Element Solutions Inc. Common Stock,Industrials,Industrial Specialties,EQUITY
1339,ESOA,Energy Services of America Corporation Common Stock,Industrials,Water Sewer Pipeline Comm & Power Line Construction,EQUITY
1340,ESP,Espey Mfg. & Electronics Corp. Common Stock,Technology,Industrial Machinery/Components,EQUITY
1341,ESPR,Esperion Therapeutics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,EQUITY
1342,ESQ,Esquire Financial Holdings Inc. Common Stock,Finance,Commercial Banks,EQUITY
1343,ESRT,Empire State Realty Trust Inc. Class A Common Stock,Real Estate,Real Estate Investment Trusts,EQUITY
1344,ESS,Essex Property Trust Inc. Common Stock,Real Estate,Real Estate Investment Trusts,EQUITY
1345,ESSA,ESSA Bancorp Inc. Common Stock,Finance,Banks,EQUITY
1346,ESTC,Elastic N.V. Ordinary Shares,Technology,Computer Software: Prepackaged Software,EQUITY
1347,ET,Energy Transfer LP Common Units ,Utilities,Natural Gas Distribution,EQUITY
1348,ETAO,Etao International Co. Ltd. Ordinary Shares,Finance,Blank Checks,EQUITY
1349,ETB,Eaton Vance Tax-Managed Buy-Write Income Fund Eaton Vance Tax-Managed Buy-Write Income Fund Common Shares of Beneficial Interest,Finance,Trusts Except Educational Religious and Charitable,EQUITY
1350,ETD,Ethan Allen Interiors Inc. Common Stock,Consumer Discretionary,Home Furnishings,EQUITY
1351,ETG,Eaton Vance Tax-Advantaged Global Dividend Income Fund Common Shares of Beneficial Interest,Finance,Finance Companies,EQUITY
1352,ETJ,Eaton Vance Risk-Managed Diversified Equity Income Fund Common Shares of Beneficial Interest,Finance,Finance Companies,EQUITY
1353,ETNB,89bio Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,EQUITY
