Date,Price,Open,High,Low,Vol.,Change %
2021/12/17 00:00,2379,2379,2379,2379,,-0.0476
2021/12/16 00:00,2498,2498,2498,2498,,-0.0627
2021/12/15 00:00,2665,2665,2665,2665,,-0.0911
2021/12/14 00:00,2932,2932,2932,2932,,-0.0883
2021/12/13 00:00,3216,3216,3216,3216,,-0.0171
2021/12/10 00:00,3272,3272,3272,3272,,-0.0212
2021/12/9 00:00,3343,3343,3343,3343,,-0.0234
2021/12/8 00:00,3423,3423,3423,3423,,0.0212
2021/12/7 00:00,3352,3352,3352,3352,,0.0362
2021/12/6 00:00,3235,3235,3235,3235,,0.0202
2021/12/3 00:00,3171,3171,3171,3171,,0.018
2021/12/2 00:00,3115,3115,3115,3115,,0.0223
2021/12/1 00:00,3047,3047,3047,3047,,0.0096
2021/11/30 00:00,3018,3018,3018,3018,,0.0476
2021/11/29 00:00,2881,2881,2881,2881,,0.0412
2021/11/26 00:00,2767,2767,2767,2767,,0.0332
2021/11/25 00:00,2678,2678,2678,2678,,0.009
2021/11/24 00:00,2654,2654,2654,2654,,-0.0225
2021/11/23 00:00,2715,2715,2715,2715,,0.0265
2021/11/22 00:00,2645,2645,2645,2645,,0.0364
2021/11/19 00:00,2552,2552,2552,2552,,0.0399
2021/11/18 00:00,2454,2454,2454,2454,,0.0099
2021/11/17 00:00,2430,2430,2430,2430,,-0.0621
2021/11/16 00:00,2591,2591,2591,2591,,-0.0609
2021/11/15 00:00,2759,2759,2759,2759,,-0.0171
2021/11/12 00:00,2807,2807,2807,2807,,-0.013
2021/11/11 00:00,2844,2844,2844,2844,,-0.0059
2021/11/10 00:00,2861,2861,2861,2861,,0.02
2021/11/9 00:00,2805,2805,2805,2805,,0.032
2021/11/8 00:00,2718,2718,2718,2718,,0.0011
2021/11/5 00:00,2715,2715,2715,2715,,-0.0195
2021/11/4 00:00,2769,2769,2769,2769,,-0.0425
2021/11/3 00:00,2892,2892,2892,2892,,-0.0926
2021/11/2 00:00,3187,3187,3187,3187,,-0.0703
2021/11/1 00:00,3428,3428,3428,3428,,-0.0259
2021/10/29 00:00,3519,3519,3519,3519,,-0.0306
2021/10/28 00:00,3630,3630,3630,3630,,-0.0467
2021/10/27 00:00,3808,3808,3808,3808,,-0.0611
